,Title,Link,Genre,Developer,Publisher,Release_JP,EU release,NA release,Plots
15,40 Winks,/wiki/40_Winks_(video_game),40 Winks,Eurocom,GT Interactive,Unreleased,November 1999,"November 14, 1999","and plot  40 Winks is a platform game where players act as siblings Ruff and Tumble. As the two are about to go to bed, their mother tells a story about the Winks and the HoodWinks. The Winks protect humans from nightmares and provide them good dreams. Meanwhile, NiteKap, who resides in a house on a hill, is having trouble sleeping due to the Winks in his dreams, and instructs Threadbear to kidnap all of them. The captured Winks turn into nightmare-bringing HoodWinks, and only 40 Winks are left, so its up to the playable protagonists to save them and stop NiteKap's plan.  After a tutorial with a sentient clock named Wakey Wakey, Ruff and Tumble enter Dreamland to traverse six worlds: Nightmare which is a halloween-themed world, Underwater which is a Jules Verne and Atlantis-style world, Space which has aliens and spaceships, Prehistoric which has dinosaurs and ancient temples, Castle which is a medieval-themed world, and Pirate that is themed to the golden age of pirates. In each of the six worlds are three levels, a flying race, and a final boss. To progress, the player must get through doors, each unlocked by having a number of golden tokens, known as ""cogs""; there are also Dreamkeys necessary to open the door for each world's boss and progress the game. There are also Z icons that keep Ruff and Tumble asleep, which serves as health, and R&T tokens that are extra lives.  Throughout the adventure, Ruff is armed with a candle that burns enemies, Tumble a teddy bear. They can walk, run, jump, kick, butt-slam, swim, slide, and execute a combo move of punch, punch, kick, and their default projectile attack is a scream that turns into a lit-up ball, its energy fueled by obtaining Moons. They power themselves up using costumes from boxes scattered throughout, known as Jack in the Boxes. The Monster box turns them into Neanderthals with a brown vomit attack. Robot increases the power of their standard attacks and equips them with missiles and jetpacks that enable them to double jump. Ninja gives them the ability to pull themselves through ropes, and increases their agility and jumping height, and Superhero, which turns Ruff into a Clown and Tumble a Fairy, makes them invulnerable to enemies and drowning, and have greater jumping height. The HoodWinks to fight include a Frankenstein's monster, witch, zombies, boxer ape, bats, sharks, mice, robots, eating plant]]s, puffer fish, tarantulas, parrots, pirates, and small dinosaurs.  The Nintendo 64 version has a two-player co-op mode where the players, although not able to directly harm, can propel each other's movements through kicks and punches. The game's default screen resolution is Normal, which is fuzzy, low resolution and runs at a quick speed, but the Expansion Pak allows for two additional screen resolutions: Medium, which is less fuzzy and has more graphical detail, and Hicol, which is the cleanest-looking mode, adds lighting effects, but also is a bit choppier in terms of frame rate.  "
17,70's Robot Anime Geppy-X,/wiki/70%27s_Robot_Anime_Geppy-X,70's Robot Anime Geppy-X,Aroma,Aroma,"May 27, 1999",Unreleased,Unreleased," The game is set in the year 197X. In the game, the protagonists use the Geppy-X giant robot to fight the invading forces of the Space Devil Empire.   70s Robot Anime Geppy-X is a 2D side scrolling shooting game. Stages in the game are presented as if they were episodes of a fictitious episodic anime series named Geppy-X. Following the anime episode format, stages play the format of opening theme, Part A, eye catch, Part B, ending theme, and ending on a next episode preview. The stages even include fake commercials and its own theme music. For example, one such commercial in the game promotes a fictitious series which is a parody of Ashita no Joe, and another for merchandise related to the show such as shampoo.  The titular robot, Geppy-X, can transform into three different robot forms, each modeled after famous 70s robots.  The game only has nine actual stages despite taking up four compact discs.  "
18,98 Kōshien,/wiki/K%C5%8Dshien_(series),98 Kōshien,Magical Company,Magical Company,"June 18, 1998",Unreleased,Unreleased,Games  The following is a list of games released in the series.  
19,99 Kōshien,/wiki/K%C5%8Dshien_(series),99 Kōshien,Magical Company,Magical Company,"June 17, 1999",Unreleased,Unreleased,Games  The following is a list of games released in the series.  
27,Ace Combat 2,/wiki/Ace_Combat_2,Ace Combat 2,Namco,Namco,"May 30, 1997",October 1997,"August 15, 1997"," Ace Combat 2 is a combat flight simulation game but it is presented in a more arcade-like format than other flight-sim games of the era. The player controls one of 24 different fighter jets through 21 different missions, each having different objectives to complete; these include intercepting a squadron of enemies, destroying a specific aircraft carrier, or protecting a base from enemy fire. Completing missions awards the player money which can be spent on new aircraft in their personal hangar.  Beginning at the game's fourth mission is the ability to allow a wingman to fly with the player, which provide additional support and will help them in completing the objective. The game begins in a mostly linear format, with branching mission paths being available later on. A fuel meter acts as a time limit and will deplete as the player flies around the level and attacks enemies; the mission will automatically end if the meter fully depletes. New to this game are ""aces"", elite enemy pilots that can be fought to unlock special medals and their special aircraft for play later. Two difficulty options are present, ""Novice"" and ""Expert"", with Expert allowing for realistic aircraft maneuvers such as rolls and high-g turns.  "
28,Ace Combat 3 Electrosphere,/wiki/Ace_Combat_3_Electrosphere,Ace Combat 3 Electrosphere,Namco,"Namco, ","May 27, 1999","January 21, 2000","March 2, 2000"," Ace Combat 3: Electrosphere is a combat flight simulation video game. Like its predecessors, it is presented in a more arcade-like format in contrast to other flight sim video games. Players pilot one of 23 different aircraft across four separate factions and must complete a selection of the game's 52 missions depending on their faction. These missions range from destroying squadrons of enemies to protecting a base from enemy fire. Player performance is graded from an A to D letter scale, which are logged in a chart on the title screen.  Electrosphere adds several new mechanics to the core Ace Combat gameplay. One of these is the ability to fly spacecraft, with one mission taking place above Earth in outer space. Players can watch instant replays of their best kills at the end of each mission. A limited number of planes and weapons can be selected for the first few missions, but only one can be used for the remaining half of the game. Missions also contain radio chatter from both the player's faction and opposing ones. The player can rotate their camera 360-degrees around their fighter in order to see what is behind them or get a better view of the level.  The Japanese version of the game features additional content that is not present in the international releases. The most notable of these are the branching stage paths; depending on actions made by player input at certain sections of the game, the plot will change based on the outcome of those decision, leading to one of five possible endings. An in-game encyclopedia can be accessed, documenting information regarding the game's characters and technology. Anime-style video emails with voice overs can be accessed, played through a fictional email inbox. Obtaining all five endings will unlock Mission Simulator mode, which allows the player to replay any mission with any aircraft and weapon of their choice.   "
31,Aconcagua,/wiki/Aconcagua_(video_game),Aconcagua,SCEI,SCEI,"June 1, 2000",Unreleased,Unreleased," The setting of the game is in the fictional country of Meruza – which was named after the actual Argentine province Mendoza; the country is currently undergoing political turmoil as the result of an independence movement. The movement has split Argentina in half, and a 33-year-old activist named Pachamama goes on a flight as part of a politically motivated independence tour. During the flight, a terrorist detonates a time bomb, which causes the plane to crash near Aconcagua's peak; only five passengers survive the crash.   In Aconcagua, the player controls a Japanese journalist named Kato, whose job, along with Pachamama's, is to guide the survivors safely down the mountain. The game is organized in a series of missions in which the player must complete from a third-person perspective. During the descent, the terrorists, knowing their plot failed, try to eliminate the survivors via helicopter drops. It also involves various problem-solving and survival skills while using items left behind from the downed plane. The game features over 80 minutes of cinematic cutscenes to advance the plot.  Aconcagua has been compared to Chase the Express, as well as Dino Crisis, Parasite Eve and the Resident Evil series. However, its gameplay and structure more closely resembles point-and-click adventure games.  "
33,Action Man Destruction X,/wiki/Blitz_Games_Studios#Games_created_or_published_by_Interactive_Studios/Blitz_Games_Studios,Action Man Destruction X,Blitz Games,The 3DO Company,Unreleased,November 2000,Unreleased,Games  Games created or published by Interactive Studios/Blitz Games Studios include:  
36,Actua Golf,/wiki/Actua_Golf,Actua Golf,Gremlin Interactive,Gremlin Interactive,"April 11, 1997",October 1996,"October 15, 1996"," Actua Golf features two fictional golf courses. The game includes various modes, such as four-ball, match, skins, and stroke. Options such as mulligans and gimmes are also available. The player can select the golfer's outfit and skin color. Selectable weather conditions include dry, damp, and wet. Various camera angles are also featured. The game has several golf commentators, including Peter Alliss and Pat O'Brien.  "
37,Actua Golf 2,/wiki/Actua_Golf_2,Actua Golf 2,Gremlin Interactive,Gremlin Interactive,Unreleased,September 1997,"June 30, 1998"," The Windows version of the game has eight golf courses, and the PlayStation version has six courses. Both versions include three real courses: The Oxfordshire, Carnoustie Links, and Kiawah Island Ocean Course. Both versions of the game use a traditional click-based method to perform golf moves. The Windows version also includes a method in which the movement of the computer mouse is used to simulate the golf club. The Windows version has several multiplayer options, including modem and LAN.  Game modes include match play, skins, stroke play, four-ball, and foursome. The player can customize the golfer's appearance with selectable clothing, and can also choose a name for the golfer. The game features Peter Alliss and John Walls as golf commentators.  "
41,Actua Soccer,/wiki/Actua_Soccer,Actua Soccer,Gremlin Interactive,Gremlin Interactive,"July 19, 1996",March 1996,"October 31, 1996"," Actua Soccer contains only 44 national teams, each containing 22 players. However, in 1996 a new version containing clubs was released: Actua Soccer: Club Edition. It contained 20 Premier League teams from the 1996/1997 season, with players displayed in ""Panini-style"" photos and with individualised statistics. Commentary was provided by Barry Davies.  "
43,Actua Soccer,/wiki/Actua_Soccer,Actua Soccer,Gremlin Interactive,Gremlin Interactive,Unreleased,December 1998,Unreleased," Actua Soccer contains only 44 national teams, each containing 22 players. However, in 1996 a new version containing clubs was released: Actua Soccer: Club Edition. It contained 20 Premier League teams from the 1996/1997 season, with players displayed in ""Panini-style"" photos and with individualised statistics. Commentary was provided by Barry Davies.  "
44,Actua Soccer,/wiki/Actua_Soccer,Actua Soccer,Gremlin Interactive,Gremlin Interactive,Unreleased,May 1997,Unreleased," Actua Soccer contains only 44 national teams, each containing 22 players. However, in 1996 a new version containing clubs was released: Actua Soccer: Club Edition. It contained 20 Premier League teams from the 1996/1997 season, with players displayed in ""Panini-style"" photos and with individualised statistics. Commentary was provided by Barry Davies.  "
48,Adidas Power Soccer,/wiki/Adidas_Power_Soccer,Adidas Power Soccer,Psygnosis,Psygnosis,Unreleased,June 1996,"August 31, 1996"," Adidas Power Soccer used motion-captured animation for real soccer players from the German, Italian, and English leagues.  "
49,Adidas Power Soccer International 97,/wiki/Adidas_Power_Soccer_International_97,Adidas Power Soccer International 97,Psygnosis,Psygnosis,Unreleased,April 1997,Unreleased," As with the previous title in the series the Arcade mode offers less realistic gameplay, allowing players to ""kick, punch and handball and unleash the Super Power Predator shot"", whereas the Simulation mode ""is more for the footballing purist, incorporating offsides and the proper rules"". A new addition to the series is a Tournament mode and the ability to select from one of 56 national teams. Up to four players are supported via the Multitap accessory. Commentary is provided by Brian Moore.  "
52,Advanced V.G.,/wiki/Variable_Geo,Advanced V.G.,TGL,TGL,"April 19, 1996",Unreleased,Unreleased," Set in a near-future version of Japan, the games tell the story of a martial arts tournament created to determine the country's strongest woman. The tournaments are sponsored by a number of family restaurants, who in exchange for their sponsorship, are given promotion in the form of having a tournament entry work as a waitress. As a result of the popularity of the tournaments, the restaurants experience a boom in patronage.  The winner of the tournament is awarded the title ""Virgin Goddess"", as well as a large cash prize of ten billion yen, and a house erected anywhere on the planet she should choose. However, when a given waitress is defeated, she will be forced to publicly strip herself of her own clothing (self-fondling and public masturbation may be forced upon the loser, and in the most extreme cases, the loser is raped/gang-raped, either in private or in front of an audience), in order to teach the so-called ""true"" shame of defeat. In spite of such humiliation, the tournaments often draw many competitors, each placing her pride and her dreams on the line as she battles for the top.   in the Variable Geo fighting games utilizes a four-button layout (two-button layout in V.G. MAX), with two buttons each for punches and kicks of differing strength and speed. Special moves are initiated by keying in various movements using the control pad or joystick and punctuated with the press of one of the punch or kick buttons.  Later games would add a special meter (identical to the system that was standardized by Super Street Fighter II Turbo) that would fill as the player inflicts or receives damage. Filling the bar would result in a stock of ""Energy"" being acquired, which could either be used for one of a number of enhanced super special attacks, or saved for later use in the match. Some moves also require more than one Special Stock to be acquired before being able to use them.  Both characters begin any given fight with a full health bar that is depleted as they take damage from attacks. The first character to have her health completely depleted is the loser. In a single player game, defeating a CPU-controlled character yields a reward, showcasing the defeated character in an imaginary situation where she is either forced to commit an embarrassing (usually sexual) act in public or private, or is raped by an unseen assailant or assailants. This feature is present only in the PC-98 and Windows PC titles, as well in the Sega Saturn version of Advanced V.G. (although toned down compared to the computer versions) and can be switched off in the games' settings menu.  "
53,Advanced V.G. 2,/wiki/Variable_Geo,Advanced V.G. 2,TGL,TGL,"September 23, 1998",Unreleased,Unreleased," Set in a near-future version of Japan, the games tell the story of a martial arts tournament created to determine the country's strongest woman. The tournaments are sponsored by a number of family restaurants, who in exchange for their sponsorship, are given promotion in the form of having a tournament entry work as a waitress. As a result of the popularity of the tournaments, the restaurants experience a boom in patronage.  The winner of the tournament is awarded the title ""Virgin Goddess"", as well as a large cash prize of ten billion yen, and a house erected anywhere on the planet she should choose. However, when a given waitress is defeated, she will be forced to publicly strip herself of her own clothing (self-fondling and public masturbation may be forced upon the loser, and in the most extreme cases, the loser is raped/gang-raped, either in private or in front of an audience), in order to teach the so-called ""true"" shame of defeat. In spite of such humiliation, the tournaments often draw many competitors, each placing her pride and her dreams on the line as she battles for the top.   in the Variable Geo fighting games utilizes a four-button layout (two-button layout in V.G. MAX), with two buttons each for punches and kicks of differing strength and speed. Special moves are initiated by keying in various movements using the control pad or joystick and punctuated with the press of one of the punch or kick buttons.  Later games would add a special meter (identical to the system that was standardized by Super Street Fighter II Turbo) that would fill as the player inflicts or receives damage. Filling the bar would result in a stock of ""Energy"" being acquired, which could either be used for one of a number of enhanced super special attacks, or saved for later use in the match. Some moves also require more than one Special Stock to be acquired before being able to use them.  Both characters begin any given fight with a full health bar that is depleted as they take damage from attacks. The first character to have her health completely depleted is the loser. In a single player game, defeating a CPU-controlled character yields a reward, showcasing the defeated character in an imaginary situation where she is either forced to commit an embarrassing (usually sexual) act in public or private, or is raped by an unseen assailant or assailants. This feature is present only in the PC-98 and Windows PC titles, as well in the Sega Saturn version of Advanced V.G. (although toned down compared to the computer versions) and can be switched off in the games' settings menu.  "
54,The Adventure of Little Ralph,/wiki/The_Adventure_of_Little_Ralph,The Adventure of Little Ralph,New Corporation,"Ertain Corporation, New Corporation","June 3, 1999",Unreleased,Unreleased," The Adventure of Little Ralph is a two-dimensional side scrolling action game.  There are several difficulty modes. Selecting easy mode results in the last few levels being skipped, and being unable to view the real ending.  There are a total of eight stages in the game, and they include locations such as a desert, an iceberg, and a flying battleship.  The player can collect fruit to increase points, which will appear as the player moves through stages. Alternate and secret paths net more fruit to collect.  Some stages scroll vertically, and some stages scroll horizontally. The player will use ropes and ledges to climb the vertical stages.  The player can perform a downward strike using their sword. It is a feature common in fantasy games featuring swords.  During boss fights, Ralph grows to adult size, and it turns into a fighting game. Moves are similar to Street Fighter II, and there's a blocking button. Beating the game unlocks a two-player versus mode, where players can play as Ralph or any of the game's bosses.  The game contains eight stages in total. The game has an emphasis on earning points, which had become less popular in gaming at the time.   In the game, a demon named Valgo has come to town, transformed an adult swordsman named Ralph into a small child, and kidnapped his girlfriend.  "
